carat,cut,color,clarity,depth,table,price,volume
0.23,Ideal,E,SI2,61.5,55.0,326,38.2
0.21,Premium,E,SI1,59.8,61.0,326,34.51
0.23,Good,E,VS1,56.9,65.0,327,38.08
0.29,Premium,I,VS2,62.4,58.0,334,46.72
0.31,Good,J,SI2,63.3,58.0,335,51.92
0.24,Very Good,J,VVS2,62.8,57.0,336,38.69
0.24,Very Good,I,VVS1,62.3,57.0,336,38.83
0.26,Very Good,H,SI1,61.9,55.0,337,42.32
0.22,Fair,E,VS2,65.1,61.0,337,36.43
0.23,Very Good,H,VS1,59.4,61.0,338,38.72
0.3,Good,J,SI1,64.0,55.0,339,49.66
0.23,Ideal,J,VS1,62.8,56.0,340,37.7
0.22,Premium,F,SI1,60.4,61.0,342,34.72
0.31,Ideal,J,SI2,62.2,54.0,344,51.52
0.2,Premium,E,SI2,60.2,62.0,345,32.26
0.32,Premium,E,I1,60.9,58.0,345,51.88
0.3,Ideal,I,SI2,62.0,54.0,348,50.13
0.3,Good,J,SI1,63.4,54.0,351,49.0
0.3,Good,J,SI1,63.8,56.0,351,48.83
0.3,Very Good,J,SI1,62.7,59.0,351,47.82
0.3,Good,I,SI2,63.3,56.0,351,49.64
0.23,Very Good,E,VS2,63.8,55.0,352,37.43
0.23,Very Good,H,VS1,61.0,57.0,353,37.6
0.31,Very Good,J,SI1,59.4,62.0,353,50.95
0.31,Very Good,J,SI1,58.1,62.0,353,51.4
0.23,Very Good,G,VVS2,60.4,58.0,354,38.37
0.24,Premium,I,VS1,62.5,57.0,355,38.64
0.3,Very Good,J,VS2,62.2,57.0,357,49.14
0.23,Very Good,D,VS2,60.5,61.0,357,37.73
0.23,Very Good,F,VS1,60.9,57.0,357,38.24
0.23,Very Good,F,VS1,60.0,57.0,402,38.85
0.23,Very Good,F,VS1,59.8,57.0,402,39.69
0.23,Very Good,E,VS1,60.7,59.0,402,38.53
0.23,Very Good,E,VS1,59.5,58.0,402,39.07
0.23,Very Good,D,VS1,61.9,58.0,402,37.88
0.23,Good,F,VS1,58.2,59.0,402,39.26
0.23,Good,E,VS1,64.1,59.0,402,36.27
0.31,Good,H,SI1,64.0,54.0,402,50.85
0.26,Very Good,D,VS2,60.8,59.0,403,43.3
0.33,Ideal,I,SI2,61.8,55.0,403,56.29
0.33,Ideal,I,SI2,61.2,56.0,403,55.56
0.33,Ideal,J,SI1,61.1,56.0,403,56.39
0.26,Good,D,VS2,65.2,56.0,403,41.86
0.26,Good,D,VS1,58.4,63.0,403,43.7
0.32,Good,H,SI2,63.1,56.0,403,52.16
0.29,Premium,F,SI1,62.4,58.0,403,47.87
0.32,Very Good,H,SI2,61.8,55.0,403,52.11
0.32,Good,H,SI2,63.8,56.0,403,53.28
0.25,Very Good,E,VS2,63.3,60.0,404,40.94
0.29,Very Good,H,SI2,60.7,60.0,404,49.95
0.24,Very Good,F,SI1,60.9,61.0,404,39.69
0.23,Ideal,G,VS1,61.9,54.0,404,37.88
0.32,Ideal,I,SI1,60.9,55.0,404,54.23
0.22,Premium,E,VS2,61.6,58.0,404,36.84
0.22,Premium,D,VS2,59.3,62.0,404,35.04
0.3,Ideal,I,SI2,61.0,59.0,405,48.97
0.3,Premium,J,SI2,59.3,61.0,405,50.64
0.3,Very Good,I,SI1,62.6,57.0,405,48.57
0.3,Very Good,I,SI1,63.0,57.0,405,50.11
0.3,Good,I,SI1,63.2,55.0,405,49.23
0.35,Ideal,I,VS1,60.9,57.0,552,57.93
0.3,Premium,D,SI1,62.6,59.0,552,48.05
0.3,Ideal,D,SI1,62.5,57.0,552,49.85
0.3,Ideal,D,SI1,62.1,56.0,552,49.9
0.42,Premium,I,SI2,61.5,59.0,552,68.48
0.28,Ideal,G,VVS2,61.4,56.0,553,45.62
0.32,Ideal,I,VVS1,62.0,55.3,553,52.97
0.31,Very Good,G,SI1,63.3,57.0,553,50.83
0.31,Premium,G,SI1,61.8,58.0,553,50.36
0.24,Premium,E,VVS1,60.7,58.0,553,39.43
0.24,Very Good,D,VVS1,61.5,60.0,553,38.91
0.3,Very Good,H,SI1,63.1,56.0,554,49.46
0.3,Premium,H,SI1,62.9,59.0,554,48.63
0.3,Premium,H,SI1,62.5,57.0,554,48.68
0.3,Good,H,SI1,63.7,57.0,554,49.59
0.26,Very Good,F,VVS2,59.2,60.0,554,44.03
0.26,Very Good,E,VVS2,59.9,58.0,554,44.06
0.26,Very Good,D,VVS2,62.4,54.0,554,43.14
0.26,Very Good,D,VVS2,62.8,60.0,554,41.09
0.26,Very Good,E,VVS1,62.6,59.0,554,42.34
0.26,Very Good,E,VVS1,63.4,59.0,554,41.21
0.26,Very Good,D,VVS1,62.1,60.0,554,42.01
0.26,Ideal,E,VVS2,62.9,58.0,554,41.46
0.38,Ideal,I,SI2,61.6,56.0,554,62.32
0.26,Good,E,VVS1,57.9,60.0,554,43.94
0.24,Premium,G,VVS1,62.3,59.0,554,37.94
0.24,Premium,H,VVS1,61.2,58.0,554,38.75
0.24,Premium,H,VVS1,60.8,59.0,554,39.24
0.24,Premium,H,VVS2,60.7,58.0,554,40.45
0.32,Premium,I,SI1,62.9,58.0,554,51.42
0.7,Ideal,E,SI1,62.5,57.0,2757,116.4
0.86,Fair,E,SI2,55.1,69.0,2757,143.72
0.7,Ideal,G,VS2,61.6,56.0,2757,113.12
0.71,Very Good,E,VS2,62.4,57.0,2759,115.87
0.78,Very Good,G,SI2,63.8,56.0,2759,126.44
0.7,Good,E,VS2,57.5,58.0,2759,116.66
0.7,Good,F,VS1,59.4,62.0,2759,111.82
0.96,Fair,F,SI2,66.3,62.0,2759,151.84
